time,b,se,variable,skill,pais,desagregacion,detalle_indicador
-3,1.0940913,52.856491,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
-1,-18.27314,51.497746,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
0,-236.70856,122.96349,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
1,-181.25566,154.99644,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
2,-322.69406,116.1034,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
3,-313.09573,200.68132,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
4,-221.25729,138.48827,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
5,-231.69609,171.28796,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
6,-341.89063,164.31435,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
7,-416.5553,175.38542,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
8,-359.33969,211.245,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
9,-402.98276,208.45218,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
10,-147.41211,278.17505,Ingreso laboral,high,CRI,Nivel educativo,Ingreso laboral total
-5,39.447857,9.0184031,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
-4,23.526901,8.0645084,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
-3,13.355918,7.3646841,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
-1,-13.43394,7.1712041,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
0,-168.57504,20.628397,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
1,-160.51735,23.089045,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
2,-186.3783,22.966341,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
3,-175.5632,26.091665,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
4,-199.72549,27.775097,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
5,-238.42569,33.194046,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
6,-227.20473,37.758327,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
7,-283.46252,36.231026,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
8,-266.48746,44.429565,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
9,-288.04367,54.773342,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
10,-309.92871,77.645065,Ingreso laboral,high,COL,Nivel educativo,Ingreso laboral total
-5,20.006834,9.4685612,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
-4,13.89788,8.9034576,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
-3,9.0905161,8.6843023,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
-1,-5.6369238,7.9815664,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
0,-76.883278,27.595058,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
1,-67.090759,27.637411,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
2,-70.049591,39.180981,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
3,-69.517426,30.141109,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
4,-52.514217,34.593597,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
5,-68.646461,31.420792,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
6,-84.985252,32.888271,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
7,-127.18192,29.541832,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
8,-110.82067,34.839127,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
9,-100.07082,38.899067,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
10,-103.80689,41.404804,Ingreso laboral,high,CHL,Nivel educativo,Ingreso laboral total
-5,33.524654,12.39466,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
-4,29.713375,12.347745,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
-3,18.417273,11.758306,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
-1,-11.255721,11.757039,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
0,-149.04182,33.777985,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
1,-190.17424,39.217129,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
2,-198.65482,39.423214,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
3,-178.97095,40.094715,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
4,-194.34001,46.199535,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
5,-224.57281,49.014034,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
6,-303.69687,46.107548,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
7,-298.5332,50.286018,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
8,-250.24515,58.642532,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
9,-336.83286,59.695724,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
10,-363.98676,64.755798,Ingreso laboral,high,BRA,Nivel educativo,Ingreso laboral total
-5,-23.37174,79.77211,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
-4,-32.545086,61.503433,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
-3,-30.879461,55.840115,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
-1,-7.0373764,53.073689,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
0,-164.327,74.041138,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
1,-152.32303,79.727509,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
2,-130.10719,91.154243,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
3,-167.65982,90.224854,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
4,-203.35315,108.72693,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
5,-175.63422,107.47242,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
6,-197.93005,128.8652,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
7,-247.16017,131.1969,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
8,-117.93689,156.75676,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
9,-283.64319,150.67528,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
10,-328.75992,142.52333,Ingreso laboral,high,BOL,Nivel educativo,Ingreso laboral total
-5,30.846052,14.206568,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
-4,26.169662,13.051258,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
-3,-.90787095,11.633684,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
-2,0,0,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
-1,-18.641861,11.159039,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
0,-160.70787,24.983683,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
1,-171.90164,25.744875,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
2,-206.68054,25.558172,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
3,-203.65192,28.264717,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
4,-236.65456,29.28874,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
5,-215.01819,31.892365,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
6,-260.65353,34.37933,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
7,-272.71756,41.506229,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
8,-264.60864,43.341972,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
9,-267.57053,47.996586,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
10,-301.86496,55.091503,Ingreso laboral,high,ARG,Nivel educativo,Ingreso laboral total
-5,.012656873,.0047651096,Empleo,high,URY,Nivel educativo,Empleado
-4,.0088734087,.0043744664,Empleo,high,URY,Nivel educativo,Empleado
-3,.0050248899,.0040572183,Empleo,high,URY,Nivel educativo,Empleado
-2,0,0,Empleo,high,URY,Nivel educativo,Empleado
-1,-.0008977619,.0037349502,Empleo,high,URY,Nivel educativo,Empleado
0,-.061691429,.015109226,Empleo,high,URY,Nivel educativo,Empleado
1,-.05633606,.014910095,Empleo,high,URY,Nivel educativo,Empleado
2,-.058808621,.014739905,Empleo,high,URY,Nivel educativo,Empleado
3,-.061586298,.01506946,Empleo,high,URY,Nivel educativo,Empleado
4,-.049139258,.014589895,Empleo,high,URY,Nivel educativo,Empleado
5,-.036941435,.014203182,Empleo,high,URY,Nivel educativo,Empleado
6,-.05111324,.016405037,Empleo,high,URY,Nivel educativo,Empleado
7,-.047022082,.016903667,Empleo,high,URY,Nivel educativo,Empleado
8,-.048856594,.018712752,Empleo,high,URY,Nivel educativo,Empleado
9,-.055614658,.02047576,Empleo,high,URY,Nivel educativo,Empleado
10,-.048580661,.022391865,Empleo,high,URY,Nivel educativo,Empleado
-5,.02884526,.033873349,Empleo,high,PRY,Nivel educativo,Empleado
-4,-.0087461919,.03173143,Empleo,high,PRY,Nivel educativo,Empleado
-3,.016440442,.029200692,Empleo,high,PRY,Nivel educativo,Empleado
-2,0,0,Empleo,high,PRY,Nivel educativo,Empleado
-1,.01275821,.02788613,Empleo,high,PRY,Nivel educativo,Empleado
0,-.099174477,.063088112,Empleo,high,PRY,Nivel educativo,Empleado
1,-.10726016,.064883217,Empleo,high,PRY,Nivel educativo,Empleado
2,-.070700765,.058601432,Empleo,high,PRY,Nivel educativo,Empleado
3,-.013333004,.057504702,Empleo,high,PRY,Nivel educativo,Empleado
4,-.017170524,.059754398,Empleo,high,PRY,Nivel educativo,Empleado
5,.0024549442,.060650069,Empleo,high,PRY,Nivel educativo,Empleado
6,-.070484452,.073144503,Empleo,high,PRY,Nivel educativo,Empleado
7,.031928372,.063931279,Empleo,high,PRY,Nivel educativo,Empleado
8,.0077910731,.070600972,Empleo,high,PRY,Nivel educativo,Empleado
9,-.026344944,.08117906,Empleo,high,PRY,Nivel educativo,Empleado
10,.024022717,.076729082,Empleo,high,PRY,Nivel educativo,Empleado
-5,.038650677,.052796107,Empleo,high,PER,Nivel educativo,Empleado
-4,.0051214439,.049422391,Empleo,high,PER,Nivel educativo,Empleado
-3,.038470753,.044267084,Empleo,high,PER,Nivel educativo,Empleado
-2,0,0,Empleo,high,PER,Nivel educativo,Empleado
-1,-.016980909,.041121397,Empleo,high,PER,Nivel educativo,Empleado
0,-.28873801,.078714348,Empleo,high,PER,Nivel educativo,Empleado
1,-.12709931,.070707299,Empleo,high,PER,Nivel educativo,Empleado
2,-.080559142,.067674585,Empleo,high,PER,Nivel educativo,Empleado
3,-.1013446,.07671915,Empleo,high,PER,Nivel educativo,Empleado
4,-.030824918,.072989479,Empleo,high,PER,Nivel educativo,Empleado
5,-.052933577,.075412713,Empleo,high,PER,Nivel educativo,Empleado
6,-.091219589,.08151827,Empleo,high,PER,Nivel educativo,Empleado
7,-.17382985,.09695863,Empleo,high,PER,Nivel educativo,Empleado
8,-.090881027,.095893614,Empleo,high,PER,Nivel educativo,Empleado
9,-.095645741,.10742588,Empleo,high,PER,Nivel educativo,Empleado
10,-.057288576,.11600669,Empleo,high,PER,Nivel educativo,Empleado
-5,-.01652381,.026217569,Empleo,high,PAN,Nivel educativo,Empleado
-4,-.0044316133,.023422237,Empleo,high,PAN,Nivel educativo,Empleado
-3,-.013436496,.021933254,Empleo,high,PAN,Nivel educativo,Empleado
-2,0,0,Empleo,high,PAN,Nivel educativo,Empleado
-1,-.0081937732,.019351803,Empleo,high,PAN,Nivel educativo,Empleado
0,-.14950688,.050040238,Empleo,high,PAN,Nivel educativo,Empleado
1,-.16200711,.051710431,Empleo,high,PAN,Nivel educativo,Empleado
2,-.10193463,.045685902,Empleo,high,PAN,Nivel educativo,Empleado
3,-.11731932,.049338412,Empleo,high,PAN,Nivel educativo,Empleado
4,-.1352911,.050332375,Empleo,high,PAN,Nivel educativo,Empleado
5,-.1140208,.049510486,Empleo,high,PAN,Nivel educativo,Empleado
6,-.11205109,.053442482,Empleo,high,PAN,Nivel educativo,Empleado
7,-.12949276,.058770072,Empleo,high,PAN,Nivel educativo,Empleado
8,-.11533239,.060356766,Empleo,high,PAN,Nivel educativo,Empleado
9,-.1213194,.061169695,Empleo,high,PAN,Nivel educativo,Empleado
10,-.12512384,.06643571,Empleo,high,PAN,Nivel educativo,Empleado
-5,.0055201128,.0040610302,Empleo,high,MEX,Nivel educativo,Empleado
-4,.0011642592,.0035863402,Empleo,high,MEX,Nivel educativo,Empleado
-3,.00079941796,.0032410412,Empleo,high,MEX,Nivel educativo,Empleado
-2,0,0,Empleo,high,MEX,Nivel educativo,Empleado
-1,-.0035652702,.0028519488,Empleo,high,MEX,Nivel educativo,Empleado
0,-.15165645,.0097720651,Empleo,high,MEX,Nivel educativo,Empleado
1,-.14520548,.0095062228,Empleo,high,MEX,Nivel educativo,Empleado
2,-.13170737,.0097440304,Empleo,high,MEX,Nivel educativo,Empleado
3,-.13219781,.010048215,Empleo,high,MEX,Nivel educativo,Empleado
4,-.13722491,.010633181,Empleo,high,MEX,Nivel educativo,Empleado
5,-.11794879,.011018222,Empleo,high,MEX,Nivel educativo,Empleado
6,-.13070808,.011910293,Empleo,high,MEX,Nivel educativo,Empleado
7,-.139336,.012949031,Empleo,high,MEX,Nivel educativo,Empleado
8,-.13661982,.014090555,Empleo,high,MEX,Nivel educativo,Empleado
9,-.13316326,.015289142,Empleo,high,MEX,Nivel educativo,Empleado
10,-.14690696,.018230127,Empleo,high,MEX,Nivel educativo,Empleado
-5,-.016271763,.032848168,Empleo,high,ECU,Nivel educativo,Empleado
-4,-.024799624,.029252304,Empleo,high,ECU,Nivel educativo,Empleado
-3,-.00020535644,.0267209,Empleo,high,ECU,Nivel educativo,Empleado
-2,0,0,Empleo,high,ECU,Nivel educativo,Empleado
-1,-.02632319,.023109896,Empleo,high,ECU,Nivel educativo,Empleado
0,-.16110162,.05482981,Empleo,high,ECU,Nivel educativo,Empleado
1,-.16166939,.054370571,Empleo,high,ECU,Nivel educativo,Empleado
2,-.12421463,.050765693,Empleo,high,ECU,Nivel educativo,Empleado
3,-.1585245,.055444796,Empleo,high,ECU,Nivel educativo,Empleado
4,-.11214301,.052588418,Empleo,high,ECU,Nivel educativo,Empleado
5,-.12477738,.055594593,Empleo,high,ECU,Nivel educativo,Empleado
6,-.14242144,.059492793,Empleo,high,ECU,Nivel educativo,Empleado
7,-.16595365,.061674859,Empleo,high,ECU,Nivel educativo,Empleado
8,-.18387537,.073285498,Empleo,high,ECU,Nivel educativo,Empleado
9,-.20920105,.081069082,Empleo,high,ECU,Nivel educativo,Empleado
10,-.18018335,.10557728,Empleo,high,ECU,Nivel educativo,Empleado
-5,.0026438041,.024455989,Empleo,high,CRI,Nivel educativo,Empleado
-4,-.0092462385,.023072988,Empleo,high,CRI,Nivel educativo,Empleado
-3,-.012860591,.021783419,Empleo,high,CRI,Nivel educativo,Empleado
-2,0,0,Empleo,high,CRI,Nivel educativo,Empleado
-1,-.012709036,.019223517,Empleo,high,CRI,Nivel educativo,Empleado
0,-.1750828,.053515553,Empleo,high,CRI,Nivel educativo,Empleado
1,-.11787047,.049462177,Empleo,high,CRI,Nivel educativo,Empleado
2,-.15424044,.050827947,Empleo,high,CRI,Nivel educativo,Empleado
3,-.14464609,.0522619,Empleo,high,CRI,Nivel educativo,Empleado
4,-.1419615,.053076886,Empleo,high,CRI,Nivel educativo,Empleado
5,-.13668936,.057837103,Empleo,high,CRI,Nivel educativo,Empleado
6,-.14008211,.067174375,Empleo,high,CRI,Nivel educativo,Empleado
7,-.14493473,.066949502,Empleo,high,CRI,Nivel educativo,Empleado
8,-.14195472,.067732207,Empleo,high,CRI,Nivel educativo,Empleado
9,-.15056022,.073882252,Empleo,high,CRI,Nivel educativo,Empleado
10,-.1266906,.078006908,Empleo,high,CRI,Nivel educativo,Empleado
-5,.01293015,.0053019379,Empleo,high,COL,Nivel educativo,Empleado
-4,.0051107421,.0046150843,Empleo,high,COL,Nivel educativo,Empleado
-3,.0064029745,.0041178078,Empleo,high,COL,Nivel educativo,Empleado
-2,0,0,Empleo,high,COL,Nivel educativo,Empleado
-1,-.0042242808,.0036480774,Empleo,high,COL,Nivel educativo,Empleado
0,-.15558952,.011338106,Empleo,high,COL,Nivel educativo,Empleado
1,-.11859147,.011214756,Empleo,high,COL,Nivel educativo,Empleado
2,-.10234283,.011457805,Empleo,high,COL,Nivel educativo,Empleado
3,-.08616136,.011837106,Empleo,high,COL,Nivel educativo,Empleado
4,-.091315158,.012714779,Empleo,high,COL,Nivel educativo,Empleado
5,-.1015925,.014028459,Empleo,high,COL,Nivel educativo,Empleado
6,-.090648122,.015133747,Empleo,high,COL,Nivel educativo,Empleado
7,-.098064855,.017481565,Empleo,high,COL,Nivel educativo,Empleado
8,-.083454505,.01984505,Empleo,high,COL,Nivel educativo,Empleado
9,-.092883408,.024151787,Empleo,high,COL,Nivel educativo,Empleado
10,-.11370213,.035240937,Empleo,high,COL,Nivel educativo,Empleado
-5,.019487448,.0072903819,Empleo,high,CHL,Nivel educativo,Empleado
-4,.0070914328,.0065894471,Empleo,high,CHL,Nivel educativo,Empleado
-3,.00017753022,.0061095711,Empleo,high,CHL,Nivel educativo,Empleado
-2,0,0,Empleo,high,CHL,Nivel educativo,Empleado
-1,-.0099094892,.0055038403,Empleo,high,CHL,Nivel educativo,Empleado
0,-.074613333,.015980551,Empleo,high,CHL,Nivel educativo,Empleado
1,-.10904478,.016320009,Empleo,high,CHL,Nivel educativo,Empleado
2,-.11692155,.015862009,Empleo,high,CHL,Nivel educativo,Empleado
3,-.10959439,.015434008,Empleo,high,CHL,Nivel educativo,Empleado
4,-.11485249,.015933955,Empleo,high,CHL,Nivel educativo,Empleado
5,-.13231064,.01660537,Empleo,high,CHL,Nivel educativo,Empleado
6,-.12436569,.017565859,Empleo,high,CHL,Nivel educativo,Empleado
7,-.13619153,.018566944,Empleo,high,CHL,Nivel educativo,Empleado
